team,season,WAR,Enter,CG,SHO,G,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,AVG,BSV,NP,QS,SAC,SF,WPCT
Lotte,11,19.93,552,3,2,133,72,56,27,45,1187,619,554,5114,1256,,,113,430,19,58,787,4,62,4.2,4.29,1.42,99.9,97.8,19.93,,0.28,15,19624,67,102,31,0.563
Nexen,11,16.99,609,0,0,133,51,80,30,66,1171.1,622,568,5195,1167,,,81,601,16,76,830,1,73,4.36,4.37,1.51,94.1,94.1,16.99,,0.268,13,20610,44,115,46,0.389
Samsung,11,29.59,532,1,1,133,79,50,48,74,1196.1,513,445,5077,1191,,,92,395,8,38,841,5,40,3.35,3.85,1.33,124.6,108.3,29.59,,0.263,8,19378,65,87,30,0.612
SK,11,25.82,562,1,0,133,71,59,37,63,1192.1,522,476,5032,1001,,,93,541,24,65,1006,3,64,3.59,3.98,1.29,114.2,103.1,25.82,,0.233,15,20130,34,99,35,0.546
Doosan,10,20.44,559,2,0,133,73,57,30,56,1179.2,669,606,5131,1190,,,135,437,6,85,888,2,58,4.62,4.58,1.38,98.4,99.3,20.44,,0.266,12,19681,50,89,47,0.562
Hanhwa,10,14.3,556,6,4,133,49,82,24,28,1169.1,763,705,5267,1290,,,146,550,17,73,806,5,65,5.43,5.09,1.57,85.2,90.9,14.3,,0.286,9,20322,46,85,41,0.374
KIA,10,23.68,539,4,1,133,59,74,25,40,1183.2,641,577,5205,1227,,,93,468,19,81,885,4,53,4.39,4.16,1.43,104,109.8,23.68,,0.272,26,20067,54,102,35,0.444
LG,10,14.38,646,3,1,133,57,71,31,59,1188,746,690,5326,1279,,,125,560,23,104,793,6,74,5.23,4.94,1.55,87,92.1,14.38,,0.284,19,20443,34,106,52,0.445
Lotte,10,18.38,542,7,3,133,69,61,21,37,1194,710,641,5204,1291,,,149,419,41,78,779,3,49,4.83,4.75,1.43,95.7,97.4,18.38,,0.282,14,19218,63,89,37,0.531
Nexen,10,18.15,597,1,1,133,52,78,27,39,1185.2,652,599,5231,1162,,,122,614,17,95,832,3,66,4.55,4.97,1.5,100,91.5,18.15,,0.265,12,21053,42,93,48,0.4
Samsung,10,28.95,572,2,1,133,79,52,33,44,1193.2,575,523,5119,1168,,,103,453,11,54,951,3,61,3.94,4.06,1.36,117,113.6,28.95,,0.26,12,19811,35,84,38,0.603
SK,10,29.64,549,2,1,133,84,47,36,39,1198.1,545,494,5114,1074,,,117,543,27,47,1091,2,80,3.71,4.14,1.35,122.6,109.7,29.64,,0.243,9,20297,53,85,22,0.641
Doosan,9,23.54,569,1,0,133,71,60,32,59,1186.1,662,607,5205,1221,,,120,515,7,75,862,3,55,4.6,4.52,1.46,103.2,105,23.54,,0.272,15,19936,27,73,47,0.542
Hanhwa,9,14.66,577,4,2,133,46,84,16,34,1174,805,743,5346,1335,,,176,569,27,77,908,5,57,5.7,5.17,1.62,85.9,94.6,14.66,,0.292,9,20758,32,65,56,0.354
Heroes,9,14.18,581,0,0,133,60,72,29,32,1174.1,762,706,5221,1231,,,176,565,19,61,840,5,51,5.41,5.26,1.53,89.2,91.8,14.18,,0.274,14,20576,44,73,33,0.455
