name,season,WAR,WPCT,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR*,WPA,MH,PH-BA,RISP
Heroes,9,24.27,0.455,1633,5211,4486,683,1219,228,20,153,1946,650,192,67,547,63,22,905,116,64,48,0.272,0.356,0.434,0.789,0.35,99.9,24.27,,133,0.199,0.26
KIA,9,23.41,0.628,1689,5215,4455,706,1191,197,24,156,1904,671,113,52,579,66,26,890,111,74,41,0.267,0.357,0.427,0.785,0.348,98.8,23.41,,132,0.262,0.278
LG,9,21.71,0.419,1656,5248,4505,670,1251,182,21,129,1862,627,141,47,552,49,28,781,124,97,45,0.278,0.36,0.413,0.773,0.344,95.8,21.71,,133,0.261,0.265
Lotte,9,20.62,0.496,1533,5053,4420,637,1223,252,15,121,1868,597,106,45,456,68,8,816,121,60,49,0.277,0.35,0.423,0.773,0.345,96.5,20.62,,133,0.188,0.273
Samsung,9,26.27,0.481,1648,5220,4459,685,1224,234,15,146,1926,650,125,50,584,67,23,789,108,67,43,0.275,0.364,0.432,0.796,0.354,102.8,26.27,,133,0.266,0.275
SK,9,29.1,0.63,1705,5379,4574,732,1303,235,17,166,2070,693,181,68,552,84,16,892,103,128,40,0.285,0.369,0.453,0.822,0.36,106.9,29.1,,133,0.294,0.256
Doosan,8,27.38,0.556,1678,4975,4344,647,1198,166,37,68,1642,598,189,63,472,78,23,719,115,36,44,0.276,0.354,0.378,0.732,0.343,105.4,27.38,,126,0.31,0.278
Hanwha,8,23.64,0.508,1630,4882,4275,592,1086,204,20,120,1690,566,97,25,463,57,17,770,100,52,35,0.254,0.333,0.395,0.728,0.336,100.7,23.64,,124,0.195,0.283
Heroes,8,17.87,0.397,1765,4834,4317,499,1149,190,19,70,1587,471,97,57,396,37,20,713,114,51,33,0.266,0.331,0.368,0.698,0.325,93.5,17.87,,126,0.237,0.27
KIA,8,16.88,0.452,1572,4832,4210,503,1095,188,28,48,1483,465,131,65,453,48,14,642,97,85,35,0.26,0.336,0.352,0.689,0.321,90.7,16.88,,126,0.217,0.251
LG,8,14.06,0.365,1538,4743,4184,468,1070,164,23,66,1478,447,111,45,364,59,6,765,90,85,50,0.256,0.321,0.353,0.674,0.313,84.8,14.06,,126,0.257,0.249
Lotte,8,29.7,0.548,1405,4890,4256,624,1200,199,22,93,1722,590,133,68,445,76,13,728,97,62,51,0.282,0.357,0.405,0.761,0.352,111.9,29.7,,126,0.189,0.273
Samsung,8,21.64,0.516,1650,4859,4180,557,1078,187,15,92,1571,520,59,37,505,65,15,699,115,70,38,0.258,0.344,0.376,0.72,0.335,100.1,21.64,,124,0.206,0.274
SK,8,30.25,0.659,1588,5003,4332,632,1222,215,23,89,1750,591,170,83,491,62,15,735,99,80,38,0.282,0.361,0.404,0.765,0.353,112.5,30.25,,126,0.289,0.278
Doosan,7,26.33,0.565,1632,4856,4199,578,1103,209,32,78,1610,543,161,59,449,88,21,748,102,68,51,0.263,0.343,0.383,0.726,0.335,103.3,26.33,,126,0.137,0.269
Hanwha,7,21.23,0.54,1593,4805,4128,534,1050,165,13,104,1553,502,48,21,506,56,17,705,128,87,28,0.254,0.342,0.376,0.718,0.332,101,21.23,,124,0.216,0.271
Hyundai,7,22.29,0.448,1666,4920,4260,530,1154,178,7,96,1634,507,51,36,443,60,38,653,111,125,32,0.271,0.346,0.384,0.729,0.332,101.2,22.29,,126,0.3,0.269
KIA,7,17.21,0.408,1535,4811,4204,499,1080,198,16,73,1529,466,70,44,428,55,7,630,117,78,45,0.257,0.33,0.364,0.694,0.322,94,17.21,,126,0.156,0.242
LG,7,22.6,0.483,1631,4933,4322,532,1160,186,19,78,1618,508,130,46,431,48,24,704,107,89,43,0.268,0.338,0.374,0.713,0.328,98.3,22.6,,126,0.266,0.262
Lotte,7,22.4,0.447,1600,4894,4273,533,1152,193,18,76,1609,501,67,46,405,73,34,763,87,104,39,0.27,0.34,0.377,0.717,0.328,98.4,22.4,,126,0.262,0.282
Samsung,7,20.97,0.508,1657,4895,4186,497,1062,191,9,86,1529,469,101,46,511,63,28,678,93,95,39,0.254,0.341,0.365,0.706,0.326,97,20.97,,125,0.273,0.238
SK,7,26.77,0.603,1686,4881,4236,603,1118,212,20,112,1706,568,136,68,442,76,22,750,86,87,40,0.264,0.341,0.403,0.744,0.34,106.9,26.77,,125,0.223,0.283
Doosan,6,18.97,0.512,1640,4708,4147,455,1068,152,28,55,1441,425,132,57,368,83,14,635,102,81,27,0.258,0.328,0.347,0.676,0.314,96.1,18.97,,126,0.176,0.258
Hanwha,6,24.41,0.54,1596,4769,4170,511,1057,191,3,110,1584,481,65,28,442,59,13,800,120,68,30,0.253,0.331,0.38,0.711,0.329,106.5,24.41,,123,0.195,0.24
Hyundai,6,26.31,0.56,1627,4798,4092,547,1104,172,9,92,1570,518,71,47,444,77,17,628,108,153,32,0.27,0.35,0.384,0.734,0.334,110.2,26.31,,126,0.207,0.272
KIA,6,19.03,0.52,1544,4754,4181,476,1067,191,22,62,1488,431,93,43,390,55,20,650,90,102,26,0.255,0.325,0.356,0.681,0.314,95.7,19.03,,126,0.259,0.247
LG,6,16.3,0.385,1612,4724,4217,457,1037,181,16,81,1493,430,84,33,330,52,19,813,86,92,32,0.246,0.306,0.354,0.661,0.303,88,16.3,,125,0.208,0.232
Lotte,6,18.22,0.407,1650,4766,4137,488,1034,173,3,88,1477,463,62,41,418,65,17,815,84,124,21,0.25,0.327,0.357,0.684,0.314,96.1,18.22,,125,0.184,0.268
Samsung,6,23.65,0.593,1646,4779,4091,538,1043,192,9,73,1472,505,121,52,477,79,14,689,107,90,42,0.255,0.341,0.36,0.701,0.325,104,23.65,,126,0.246,0.254
SK,6,23.78,0.48,1583,4793,4177,509,1059,171,19,99,1565,488,117,47,424,63,19,859,84,96,33,0.254,0.329,0.375,0.704,0.323,102.6,23.78,,126,0.254,0.246
Doosan,5,21.79,0.585,1665,4922,4256,596,1147,183,17,63,1553,558,103,50,465,85,14,701,93,81,35,0.27,0.351,0.365,0.715,0.33,97.9,21.79,,126,0.164,0.275
Hanwha,5,28.62,0.512,1507,4841,4304,622,1163,211,9,159,1869,594,62,24,400,75,12,824,121,31,31,0.27,0.341,0.434,0.775,0.351,111.6,28.62,,126,0.22,0.261
Hyundai,5,24.55,0.431,1506,4899,4190,563,1071,168,16,134,1673,529,81,38,458,120,12,817,85,105,26,0.256,0.344,0.399,0.743,0.336,102.2,24.55,,125,0.257,0.241
KIA,5,19.51,0.392,1564,4848,4234,541,1102,183,13,99,1608,507,101,43,430,74,24,718,101,79,31,0.26,0.337,0.38,0.717,0.326,95.3,19.51,,125,0.191,0.24
LG,5,22.48,0.432,1612,4785,4222,601,1098,189,21,105,1644,554,149,45,349,93,12,915,72,80,41,0.26,0.327,0.389,0.717,0.324,94.1,22.48,,126,0.247,0.276
Lotte,5,16.2,0.464,1607,4722,4177,500,1058,202,23,83,1555,470,88,52,361,70,11,856,83,94,20,0.253,0.322,0.372,0.694,0.315,87.4,16.2,,125,0.228,0.261
Samsung,5,26.13,0.607,1602,4975,4234,614,1134,178,6,111,1657,575,97,38,500,109,21,748,112,98,34,0.268,0.357,0.391,0.749,0.341,105.5,26.13,,126,0.204,0.265
SK,5,25.13,0.583,1631,4984,4230,589,1139,174,12,122,1703,559,101,54,495,85,27,806,88,136,38,0.269,0.355,0.403,0.757,0.339,104.6,25.13,,126,0.265,0.249
Doosan,4,21.46,0.53,1674,5109,4485,606,1200,202,19,89,1707,573,71,59,433,96,12,780,86,55,40,0.268,0.342,0.381,0.723,0.333,95.4,21.46,,132,0.218,0.268
Hanwha,4,24.4,0.417,1729,5150,4519,632,1213,245,17,140,1912,605,82,58,456,54,14,923,107,88,33,0.268,0.34,0.423,0.764,0.343,102.5,24.4,,133,0.248,0.262
Hyundai,4,31.88,0.586,1692,5322,4480,692,1233,190,13,134,1851,653,100,45,607,86,29,871,109,111,38,0.275,0.37,0.413,0.783,0.354,110.1,31.88,,133,0.28,0.286
KIA,4,28.86,0.523,1685,5190,4426,643,1182,224,9,143,1853,610,127,54,549,79,22,693,118,82,54,0.267,0.354,0.419,0.773,0.349,106.5,28.86,,132,0.263,0.263
LG,4,18.5,0.457,1753,5081,4432,588,1150,176,24,102,1680,554,69,48,441,95,18,892,89,73,40,0.259,0.337,0.379,0.716,0.328,91.7,18.5,,133,0.193,0.264
Lotte,4,15.36,0.41,1661,5075,4462,533,1125,195,21,88,1626,500,129,46,416,92,15,853,99,74,31,0.252,0.327,0.364,0.691,0.317,84.8,15.36,,132,0.146,0.248
Samsung,4,26.73,0.584,1553,5170,4509,641,1215,225,9,132,1854,600,50,32,460,86,22,704,122,84,31,0.269,0.346,0.411,0.757,0.343,102.2,26.73,,131,0.16,0.268
SK,4,25.97,0.488,1728,5254,4499,655,1223,196,9,138,1851,626,50,47,521,93,24,818,98,105,35,0.272,0.357,0.411,0.768,0.347,105.4,25.97,,132,0.159,0.271
Doosan,3,20.73,0.435,1702,5165,4536,563,1251,205,21,90,1768,541,58,36,452,62,17,706,121,63,52,0.276,0.346,0.39,0.736,0.332,96,20.73,,133,0.272,0.271
Hanwha,3,20.36,0.492,1739,5198,4458,577,1131,218,20,121,1752,521,78,57,542,75,22,887,89,102,21,0.254,0.343,0.393,0.736,0.33,94.4,20.36,,133,0.201,0.252
Hyundai,3,37.5,0.611,1648,5313,4483,723,1280,208,15,175,2043,673,75,48,543,109,23,727,100,139,38,0.286,0.374,0.456,0.829,0.363,117.7,37.5,,133,0.208,0.272
KIA,3,26.26,0.609,1657,5127,4448,657,1211,219,16,129,1849,626,146,67,505,42,18,721,72,94,37,0.272,0.349,0.416,0.765,0.34,101.8,26.26,,131,0.226,0.284
LG,3,13.46,0.458,1694,4964,4375,509,1088,188,29,106,1652,485,135,62,404,70,11,781,90,74,40,0.249,0.32,0.378,0.697,0.313,82.2,13.46,,133,0.201,0.229
Lotte,3,11.19,0.3,1656,4987,4465,491,1143,232,18,73,1630,451,84,66,338,73,11,848,75,83,28,0.256,0.317,0.365,0.682,0.307,78.5,11.19,,133,0.206,0.243
Samsung,3,37.22,0.589,1501,5241,4564,769,1295,236,14,213,2198,744,56,32,481,85,19,661,131,73,38,0.284,0.36,0.482,0.842,0.369,121.3,37.22,,133,0.206,0.293
SK,3,25.84,0.508,1656,5157,4445,644,1208,209,16,156,1917,612,82,57,464,89,10,763,87,127,32,0.272,0.35,0.431,0.781,0.344,104.8,25.84,,133,0.19,0.269
Doosan,2,21.04,0.504,1693,5083,4498,587,1173,174,21,130,1779,556,106,42,434,58,17,794,107,47,46,0.261,0.331,0.396,0.726,0.322,95.2,21.04,,133,0.266,0.255
Hanwha,2,22.5,0.461,1791,5062,4491,603,1148,206,10,170,1884,570,94,65,446,49,22,1064,106,52,22,0.256,0.328,0.42,0.748,0.328,99.6,22.5,,133,0.189,0.251
Hyundai,2,26.6,0.547,1748,5140,4444,658,1160,191,25,173,1920,643,79,50,464,99,26,945,82,99,34,0.261,0.342,0.432,0.774,0.336,105.2,26.6,,133,0.209,0.27
KIA,2,28.11,0.605,1687,5200,4575,643,1230,220,14,120,1838,611,155,39,454,91,32,914,107,45,35,0.269,0.344,0.402,0.746,0.331,101.9,28.11,,133,0.25,0.268
LG,2,20.25,0.52,1752,5121,4492,583,1173,212,22,100,1729,541,140,63,412,86,29,951,91,93,37,0.261,0.332,0.385,0.717,0.316,91,20.25,,133,0.178,0.258
Lotte,2,8.23,0.265,1757,4986,4512,463,1105,206,19,85,1604,443,76,63,324,78,14,978,75,49,22,0.245,0.305,0.356,0.661,0.295,76.7,8.23,,132,0.131,0.224
Samsung,2,38.22,0.636,1599,5304,4648,777,1321,266,16,191,2192,731,47,29,469,97,26,804,116,55,34,0.284,0.36,0.472,0.831,0.362,122.7,38.22,,133,0.165,0.278
SK,2,26.92,0.469,1737,5090,4475,618,1207,204,27,158,1939,587,80,55,385,100,15,815,94,96,34,0.27,0.339,0.433,0.772,0.336,105.2,26.92,,133,0.218,0.271
