name,season,WPCT,WAR,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR*,WPA
Taepyeongyang,94,0.552,18.49,1560,4636,4047,485,988,179,18,91,1476,453,66,64,385,53,16,750,86,126,25,0.244,0.316,0.365,0.681,0.309,93.1,18.49,
Binggrae,93,0.5,21.34,1671,4715,4119,454,982,180,13,81,1431,427,96,50,433,54,16,743,94,73,35,0.238,0.317,0.347,0.664,0.311,99.2,21.34,
Haitai,93,0.655,30,1496,4711,4102,513,1030,169,12,95,1508,465,161,73,452,48,6,606,107,71,31,0.251,0.33,0.368,0.698,0.326,110.3,30,
LG,93,0.536,25.55,1645,4730,4182,496,1069,176,32,74,1531,463,117,62,376,55,17,594,95,91,26,0.256,0.323,0.366,0.689,0.32,106,25.55,
Lotte,93,0.496,19.11,1604,4675,4077,452,1013,160,38,29,1336,422,174,79,389,53,10,563,75,114,41,0.248,0.319,0.328,0.647,0.301,92.5,19.11,
OB,93,0.544,23.87,1672,4740,4131,473,1066,176,34,59,1487,442,86,49,403,48,16,611,104,118,39,0.258,0.328,0.36,0.688,0.318,104.5,23.87,
Samsung,93,0.599,38.88,1667,4999,4369,613,1169,169,22,133,1781,592,102,73,465,66,13,662,105,53,38,0.268,0.344,0.408,0.752,0.349,127,38.88,
Ssangbangwool,93,0.361,10.15,1541,4546,4005,366,903,138,14,46,1207,342,117,80,392,53,12,733,88,74,21,0.225,0.302,0.301,0.603,0.286,81,10.15,
Taepyeongyang,93,0.31,10.57,1435,4532,4025,342,913,169,15,35,1217,314,80,50,343,39,17,776,100,104,21,0.227,0.293,0.302,0.595,0.278,75.3,10.57,
Binggrae,92,0.651,29.36,1662,4865,4197,658,1120,191,29,146,1807,620,104,59,511,58,29,660,96,54,45,0.267,0.351,0.431,0.782,0.351,109.5,29.36,
Haitai,92,0.567,32.47,1525,4903,4183,701,1139,191,16,138,1776,658,134,57,559,70,14,656,114,54,37,0.272,0.365,0.425,0.789,0.359,114.5,32.47,
LG,92,0.433,17.37,1592,4841,4261,572,1094,172,24,108,1638,539,89,55,439,46,21,570,111,64,31,0.257,0.331,0.384,0.715,0.325,91.7,17.37,
Lotte,92,0.563,30.33,1616,4904,4205,663,1213,211,62,68,1752,619,130,55,483,59,14,542,90,103,53,0.288,0.366,0.417,0.782,0.352,110,30.33,
OB,92,0.46,18.03,1673,4833,4225,547,1096,172,31,110,1660,511,96,58,439,37,19,645,98,96,32,0.259,0.332,0.393,0.725,0.326,92.4,18.03,
Samsung,92,0.54,26.53,1719,4921,4250,633,1128,169,23,124,1715,585,127,61,494,73,21,620,95,58,44,0.265,0.349,0.404,0.752,0.342,103.2,26.53,
Ssangbangwool,92,0.329,17.73,1604,4766,4081,508,1015,167,29,90,1510,459,89,53,528,54,24,748,138,77,21,0.249,0.341,0.37,0.711,0.325,92.3,17.73,
Taepyeongyang,92,0.456,16.47,1587,4745,4143,518,1061,204,25,87,1576,464,72,49,406,48,11,620,94,117,21,0.256,0.328,0.38,0.709,0.319,87.9,16.47,
Binggrae,91,0.591,35.1,1723,4870,4221,644,1155,181,43,136,1830,607,121,63,485,51,22,704,92,84,29,0.274,0.353,0.434,0.787,0.356,118.7,35.1,
Haitai,91,0.647,31.76,1450,4843,4135,618,1069,171,29,144,1730,594,152,77,516,83,12,588,102,74,35,0.259,0.35,0.418,0.768,0.351,114.9,31.76,
LG,91,0.425,11.64,1701,4680,4131,472,1009,158,41,53,1408,430,110,99,400,52,18,475,118,67,29,0.244,0.317,0.341,0.658,0.306,83.6,11.64,
Lotte,91,0.496,21.59,1750,4821,4128,583,1072,177,46,73,1560,533,97,57,457,61,30,515,78,122,47,0.26,0.339,0.378,0.717,0.325,97.5,21.59,
OB,91,0.413,14.99,1649,4791,4220,501,1054,169,39,59,1478,458,136,78,418,40,23,648,84,91,22,0.25,0.322,0.35,0.672,0.31,86.7,14.99,
Samsung,91,0.56,29.69,1706,4875,4182,639,1138,180,25,108,1692,593,126,82,510,59,28,546,106,85,37,0.272,0.357,0.405,0.761,0.348,112.5,29.69,
Ssangbangwool,91,0.425,24.67,1552,4734,4114,554,1041,198,30,87,1560,505,130,87,475,66,12,726,93,46,33,0.253,0.338,0.379,0.717,0.333,102.4,24.67,
Taepyeongyang,91,0.444,12.58,1598,4680,4102,426,976,208,25,51,1387,395,143,73,423,43,25,598,80,85,27,0.238,0.314,0.338,0.652,0.301,81,12.58,
